word,transcription,definition,level,categories,raw
card,/kɑːrd/,"A piece of thick, stiff paper or thin pasteboard, in particular one used for writing or printing on; for example a credit card or a birthday card.",A1,"Nouns;Objects;Money",
career,/kəˈrɪər/,"An occupation undertaken for a significant period of a person's life and with opportunities for progress.",A1,"Nouns;Work",
carrot,/ˈkærət/,"A tapering orange-colored root eaten as a vegetable.",A1,"Nouns;Food;Plants",
carry,/ˈkæri/,"To support and move someone or something from one place to another.",A1,"Verbs;Actions",
cat,/kæt/,"A small domesticated carnivorous mammal with soft fur, a short snout, and retractable claws.",A1,"Nouns;Animals;Pets",
cent,/sɛnt/,"A monetary unit in various countries, equal to one hundredth of a dollar, euro, or other decimal currency unit.",A1,"Nouns;Money",
centre,/ˈsɛntər/,"The middle point or part of something. (British spelling for center).",A1,"Nouns;Places",
century,/ˈsɛnʧəri/,"A period of one hundred years.",A1,"Nouns;Time",
chair,/ʧɛər/,"A separate seat for one person, typically with a back and four legs.",A1,"Nouns;Furniture;House",
change,/ʧeɪnʤ/,"To make or become different.",A1,"Verbs;Nouns;Actions",
chart,/ʧɑːrt/,"A sheet of information in the form of a table, graph, or diagram.",A1,"Nouns;Data;Objects",
cheap,/ʧiːp/,"Low in price; worth more than its cost.",A1,"Adjectives;Money;Shopping",
check,/ʧɛk/,"To examine something in order to determine its accuracy, quality, or condition.",A1,"Verbs;Actions",
cheese,/ʧiːz/,"A food made from the pressed curds of milk.",A1,"Nouns;Food",
chicken,/ˈʧɪkɪn/,"A domestic fowl kept for its eggs or meat; the meat from this bird.",A1,"Nouns;Animals;Food",
child,/ʧaɪld/,"A young human being below the age of puberty or below the legal age of majority.",A1,"Nouns;People;Family",
chocolate,/ˈʧɔːklət/,"A food preparation in the form of a paste or solid block made from roasted and ground cacao seeds, typically sweetened.",A1,"Nouns;Food;Desserts",
choose,/ʧuːz/,"To decide on and pick one thing from a number of possibilities.",A1,"Verbs;Actions",
cinema,/ˈsɪnəmə/,"A building where movies are shown; a movie theater.",A1,"Places;Arts;Leisure",
city,/ˈsɪti/,"A large and important town.",A1,"Places;Nouns",
class,/klæs/,"A group of students who are taught together; a lesson.",A1,"Education;Nouns",
classroom,/ˈklæsruːm/,"A room in a school where a group of students is taught.",A1,"Education;Places;Nouns",
clean,/kliːn/,"Free from dirt or marks. Can also be a verb: to make something clean.",A1,"Adjectives;Verbs;House",
climb,/klaɪm/,"To go up something, especially by using your hands and feet.",A1,"Verbs;Actions;Sports",
clock,/klɒk/,"An instrument that shows the time, usually on a wall or shelf.",A1,"Objects;Time;House",
close,/kloʊz/,"To move something to cover an opening; to bring to an end.",A1,"Verbs;Actions",
clothes,/kloʊðz/,"Items worn to cover the body, such as shirts, pants, and dresses.",A1,"Clothing;Nouns",
club,/klʌb/,"A place for entertainment like dancing; a group of people with a common interest.",A1,"Places;Leisure;Groups",
coat,/koʊt/,"An outer piece of clothing with sleeves, worn outdoors.",A1,"Clothing;Nouns",
coffee,/ˈkɔːfi/,"A hot drink made from roasted and ground coffee beans.",A1,"Drinks;Food;Nouns",
cold,/koʊld/,"Of or at a low temperature. Can also be a noun: an illness.",A1,"Adjectives;Weather;Health",
college,/ˈkɒlɪdʒ/,"An institution for higher education or professional training.",A1,"Education;Places;Nouns",
colour,/ˈkʌlər/,"The appearance of objects as a result of the way they reflect light. (British spelling for color).",A1,"Nouns;Colors",
come,/kʌm/,"To move or travel towards the speaker or a specified place.",A1,"Verbs;Movement",
common,/ˈkɒmən/,"Occurring, found, or done often; prevalent.",A1,"Adjectives;General",
company,/ˈkʌmpəni/,"A commercial business.",A1,"Work;Business;Nouns",
compare,/kəmˈpɛər/,"To note the similarity or difference between things.",A1,"Verbs;Actions",
complete,/kəmˈpliːt/,"Having all the necessary or appropriate parts. Can also be a verb: to finish making or doing something.",A1,"Adjectives;Verbs",
computer,/kəmˈpjuːtər/,"An electronic device for storing and processing data, typically in binary form, according to instructions given to it in a variable program.",A1,"Technology;Objects;Nouns",
concert,/ˈkɒnsərt/,"A live music performance in front of an audience.",A1,"Events;Music;Arts",
conversation,/ˌkɒnvərˈseɪʃən/,"A talk, especially an informal one, between two or more people.",A1,"Communication;Nouns",
cook,/kʊk/,"To prepare food by heating it. Can also be a noun: a person who cooks.",A1,"Verbs;Food;Professions",
cooking,/ˈkʊkɪŋ/,"The process of preparing food using heat.",A1,"Nouns;Food;Hobbies",
cool,/kuːl/,"Of or at a fairly low temperature. Can also be an informal adjective for fashionable or impressive.",A1,"Adjectives;Weather;General",
correct,/kəˈrɛkt/,"Free from error; in accordance with fact or truth.",A1,"Adjectives;Verbs",
cost,/kɒst/,"The amount of money that must be paid to buy or do something. Can also be a verb.",A1,"Nouns;Verbs;Money;Shopping",
could,/kʊd/,"The past tense of the modal verb 'can', used to express possibility or ability.",A1,"Verbs;Modals;Grammar",
country,/ˈkʌntri/,"A nation with its own government, occupying a particular territory. Can also mean land outside of towns and cities.",A1,"Places;Geography;Nouns",
course,/kɔːrs/,"A series of lessons or lectures on a particular subject; a class.",A1,"Education;Nouns",
cousin,/ˈkʌzən/,"A child of one's uncle or aunt.",A1,"Family;People;Nouns",
cow,/kaʊ/,"A large domestic bovine animal kept for its milk or meat.",A1,"Animals;Farming;Nouns",
cream,/kriːm/,"The thick white or pale yellow fatty liquid which rises to the top of milk.",A1,"Food;Nouns",
create,/kriˈeɪt/,"To bring something into existence.",A1,"Verbs;Actions",
culture,/ˈkʌlʧər/,"The customs, arts, social institutions, and achievements of a particular nation, people, or group.",A1,"Society;Nouns",
cup,/kʌp/,"A small bowl-shaped container for drinking from, typically having a handle.",A1,"Objects;Containers;Drinks",
customer,/ˈkʌstəmər/,"A person who buys goods or services from a shop or business.",A1,"People;Shopping;Business",
cut,/kʌt/,"To make an opening or wound with a sharp-edged tool or object.",A1,"Verbs;Actions",
dance,/dɑːns/,"to move your body in a rhythmic way, usually to music, to express an emotion or enjoy yourself.",A1,"Verbs;Leisure;Hobbies",
dancer,/ˈdɑːn.sər/,"a person who dances professionally or for pleasure.",A1,"People;Professions;Hobbies",
dancing,/ˈdɑːn.sɪŋ/,"the activity of dancing for pleasure or as a performance.",A1,"Hobbies;Leisure;Nouns",
dangerous,/ˈdeɪn.dʒər.əs/,"able or likely to cause harm or injury.",A1,"Adjectives;General",
dark,/dɑːk/,"with little or no light.",A1,"Adjectives;Colors;Nature",
date,/deɪt/,"a particular day of the month or year, specified by a number.",A1,"Time;Nouns",
daughter,/ˈdɔː.tər/,"a person's female child.",A1,"Family;People;Nouns",
day,/deɪ/,"a period of 24 hours.",A1,"Time;Nouns",
dear,/dɪər/,"regarded with deep affection; cherished by someone.",A1,"Adjectives;Feelings;Relationships",
decide,/dɪˈsaɪd/,"to make a choice from a number of alternatives.",A1,"Verbs;Communication",
delicious,/dɪˈlɪʃ.əs/,"having a very pleasant taste or smell.",A1,"Adjectives;Food;Feelings",
describe,/dɪˈskraɪb/,"to give a detailed account in words of someone or something.",A1,"Verbs;Communication;Writing",
description,/dɪˈskrɪp.ʃən/,"a spoken or written representation or account of a person, object, or event.",A1,"Nouns;Communication;Writing",
design,/dɪˈzaɪn/,"a plan or drawing produced to show the look and function of something before it is built or made.",A1,"Nouns;Arts;Work",
desk,/desk/,"a piece of furniture with a flat top and, typically, drawers, at which one can read, write, or do other work.",A1,"Objects;Furniture;House",
detail,/ˈdiː.teɪl/,"an individual feature, fact, or item.",A1,"Nouns;Data;Writing",
dialogue,/ˈdaɪ.ə.lɒɡ/,"a conversation between two or more people as a feature of a book, play, or film.",A1,"Nouns;Communication;Writing",
dictionary,/ˈdɪk.ʃən.ər.i/,"a book or electronic resource that lists the words of a language in alphabetical order and gives their meaning.",A1,"Objects;Education;Writing",
die,/daɪ/,"to stop living.",A1,"Verbs;Health;General",
diet,/ˈdaɪ.ət/,"the kinds of food that a person, animal, or community habitually eats.",A1,"Nouns;Food;Health",
difference,/ˈdɪf.ər.əns/,"a point or way in which people or things are not the same.",A1,"Nouns;Math;General",
different,/ˈdɪf.ər.ənt/,"not the same as another or each other; unlike in nature, form, or quality.",A1,"Adjectives;General",
difficult,/ˈdɪf.ɪ.kəlt/,"needing much effort or skill to accomplish, deal with, or understand.",A1,"Adjectives;General",
dinner,/ˈdɪn.ər/,"the main meal of the day, taken either around midday or in the evening.",A1,"Nouns;Meals;Food",
dirty,/ˈdɜː.ti/,"covered or marked with an unclean substance.",A1,"Adjectives;General",
discuss,/dɪˈskʌs/,"to talk about something with a person or people.",A1,"Verbs;Communication;Work",
dish,/dɪʃ/,"a flat-bottomed container for cooking or serving food.",A1,"Nouns;Objects;Food",
do,/duː/,"to perform an action, the precise nature of which is often unspecified.",A1,"Verbs;Grammar",
doctor,/ˈdɒk.tər/,"a qualified practitioner of medicine; a physician.",A1,"Professions;Health;People",
dog,/dɒɡ/,"a domesticated carnivorous mammal that typically has a long snout, an acute sense of smell, and a barking, howling, or whining voice.",A1,"Animals;Pets;Nouns",
dollar,ˈdɒl.ər/,"the basic monetary unit of the US, Canada, Australia, and other countries.",A1,"Money;Nouns",
door,/dɔːr/,"a hinged, sliding, or revolving barrier at the entrance to a building, room, or vehicle.",A1,"House;Objects;Nouns",
down,/daʊn/,"towards or in a lower place or position.",A1,"Adverbs;Movement",
downstairs,/ˌdaʊnˈsteəz/,"down a flight of stairs; to or on a lower floor.",A1,"Adverbs;House;Movement",
draw,/drɔː/,"to produce a picture or diagram by making lines and marks on paper with a pen or pencil.",A1,"Verbs;Arts;Hobbies",
dress,/dres/,"a one-piece garment for a woman or girl that covers the body and extends down over the legs.",A1,"Clothing;Objects;Nouns",
drink,/drɪŋk/,"a liquid that can be swallowed as refreshment or nourishment.",A1,"Drinks;Food;Nouns",
drive,/draɪv/,"to operate and control the direction and speed of a motor vehicle.",A1,"Verbs;Transport;Actions",
driver,/ˈdraɪ.vər/,"a person who drives a vehicle.",A1,"People;Professions;Transport",
during,/ˈdʒʊə.rɪŋ/,"throughout the course or duration of a period of time.",A1,"Prepositions;Grammar;Time",
each,/iːtʃ/,"used to refer to every one of two or more people or things, regarded and identified separately.",A1,"Determiners;Grammar",
ear,/ɪər/,"the organ of hearing and balance in humans and other vertebrates.",A1,"Body Parts;Nouns",
early,/ˈɜː.li/,"happening or done before the usual or expected time.",A1,"Adjectives;Adverbs;Time",
east,/iːst/,"the direction from which the sun rises, on the right-hand side of a person facing north.",A1,"Geography;Nouns",
easy,/ˈiː.zi/,"achieved without great effort; presenting few difficulties.",A1,"Adjectives;General",
eat,/iːt/,"to put food into the mouth and chew and swallow it.",A1,"Verbs;Food;Actions",
egg,/eɡ/,"an oval or round object laid by female birds, reptiles, amphibians, etc., containing the germ of a new animal.",A1,"Food;Animals;Nouns",
eight,/eɪt/,"the number equivalent to the sum of seven and one; one more than seven.",A1,"Math;Nouns",
eighteen,/ˌeɪˈtiːn/,"the number equivalent to the sum of ten and eight; one more than seventeen.",A1,"Math;Nouns",
eighty,/ˈeɪ.ti/,"the number equivalent to the product of ten and eight; ten less than ninety.",A1,"Math;Nouns",
elephant,/ˈel.ɪ.fənt/,"a very large herbivorous mammal with a trunk, large ears, and tusks.",A1,"Animals;Nouns",
eleven,/ɪˈlev.ən/,"the number equivalent to the sum of ten and one; one more than ten.",A1,"Math;Nouns",
else,/els/,"in addition; besides.",A1,"Adverbs;Grammar",
email,/ˈiː.meɪl/,"a system for sending messages from one computer to another.",A1,"Technology;Communication;Nouns",
end,/end/,"the final part of something, especially a period of time, an activity, or a story.",A1,"Nouns;General",
enjoy,/ɪnˈdʒɔɪ/,"to take delight or pleasure in an activity or occasion.",A1,"Verbs;Feelings;Leisure",
enough,/ɪˈnʌf/,"as much or as many as is necessary or required.",A1,"Determiners;Adverbs;Grammar",
euro,/ˈjʊə.rəʊ/,"the single European currency.",A1,"Money;Nouns",
evening,/ˈiːv.nɪŋ/,"the period of time at the end of the day, usually from about 6 p.m. to bedtime.",A1,"Time;Nouns",
event,/ɪˈvent/,"a thing that happens or takes place, especially one of importance.",A1,"Events;Nouns",
ever,/ˈev.ər/,"at any time.",A1,"Adverbs;Time;Grammar",
every,/ˈev.ri/,"used to refer to all the individual members of a set without exception.",A1,"Determiners;Grammar",
everybody,/ˈev.riˌbɒd.i/,"every person.",A1,"Pronouns;People;Grammar",
everyone,/ˈev.ri.wʌn/,"every person.",A1,"Pronouns;People;Grammar",
everything,/ˈev.ri.θɪŋ/,"all things.",A1,"Pronouns;Grammar",
exam,/ɪɡˈzæm/,"a formal test of a person's knowledge or proficiency in a subject or skill.",A1,"Education;Nouns",
example,/ɪɡˈzɑːm.pəl/,"a thing characteristic of its kind or illustrating a general rule.",A1,"Education;Nouns;Communication",
excited,/ɪkˈsaɪ.tɪd/,"feeling very enthusiastic and eager.",A1,"Adjectives;Feelings",
exciting,/ɪkˈsaɪ.tɪŋ/,"causing great enthusiasm and eagerness.",A1,"Adjectives;Feelings",
exercise,/ˈek.sə.saɪz/,"activity requiring physical effort, carried out to sustain or improve health and fitness.",A1,"Sports;Health;Hobbies",
expensive,/ɪkˈspen.sɪv/,"costing a lot of money.",A1,"Adjectives;Money;Shopping",
explain,/ɪkˈspleɪn/,"to make an idea or situation clear to someone by describing it in more detail.",A1,"Verbs;Communication;Education",
extra,/ˈek.strə/,"added to an existing or usual amount or number.",A1,"Adjectives;General",
